번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),임산부정원수,영유아정원수,임산부실면적,영유아실면적,모유수유실면적,급식시설면적,세탁실면적,목욕실면적,조리원화장실면적,사무실면적,간호사수,간호조무사수,영양사수,취사부수,미화원수,기타인원수,건물층수,지상층수,지하층수,Unnamed: 47
631,산후조리업,01_01_04_P,4191000,PHMB120064190023042100001,2006-12-11,,1,영업/정상,13,영업중,,,,,033-734-5605,,,,강원특별자치도 원주시 능라동길 61 (무실동),26392,율산후조리원,2021-04-15 14:04:56,I,2023-06-13 00:00:00,,282457.561821675,426197.262434883,18,18,348.2,30.6,17.2,28.2,0.0,0.0,0.0,24.1,3.0,12.0,0.0,1.0,1.0,0.0,8.0,8.0,0.0,
632,산후조리업,01_01_04_P,4191000,PHMB120094190023042100001,2009-06-25,,1,영업/정상,13,영업중,,,,,033-745-7020,,,강원특별자치도 원주시 단계동 862번지,"강원특별자치도 원주시 장미공원길 43-6, 5층 (단계동, 송정빌딩)",26436,연세순풍산후조리원,2018-12-28 13:42:16,I,2023-06-13 00:00:00,,282349.238533988,427573.993979604,18,18,323.0,33.1,4.6,30.5,11.0,4.0,10.7,5.7,3.0,9.0,0.0,1.0,1.0,3.0,6.0,5.0,1.0,
633,산후조리업,01_01_04_P,4191000,PHMB120144190023042100001,2016-11-03,,1,영업/정상,13,영업중,,,,,033-765-7900,,,강원특별자치도 원주시 단구동 1511-4 대신프라자,"강원특별자치도 원주시 서원대로 402, 대신프라자 6층 (단구동)",26484,다올산후조리원,2025-01-16 16:47:38,U,2025-01-18 02:40:00,,284060.844117657,425805.976224163,44,44,367.1,75.73,13.57,13.98,9.61,0.0,0.0,14.37,3.0,4.0,0.0,3.0,1.0,1.0,7.0,6.0,1.0,
634,산후조리업,01_01_04_P,4191000,PHMB120184190023042100001,2018-06-21,,1,영업/정상,13,영업중,,,,,033-901-5959,,,강원특별자치도 원주시 행구동 1710번지 11호,"강원특별자치도 원주시 영랑길 14-2, 청연재빌딩 5,8,9층 (행구동)",26456,주식회사 프리티가든 산후조리원,2019-12-09 14:19:24,I,2023-06-13 00:00:00,,286037.048659542,426993.638003468,19,19,24.0,41.6,10.9,26.0,27.3,12.5,4.6,11.7,3.0,6.0,0.0,5.0,4.0,0.0,11.0,9.0,2.0,
635,산후조리업,01_01_04_P,4201000,PHMB120124200028042100001,2012-09-12,,1,영업/정상,13,영업중,,,,,033)643-8114,,210-101,강원특별자치도 강릉시 교1동 723번지 7호,강원특별자치도 강릉시 율곡로 2982-6 (교동),25490,세가온산후조리원,2018-10-01 10:32:20,I,2023-06-13 00:00:00,,366678.684068832,475654.262415356,18,18,205.17,33.44,15.5,0.0,0.0,0.0,45.44,11.2,3.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
636,산후조리업,01_01_04_P,4201000,PHMB120144200028042100001,2014-11-26,,1,영업/정상,13,영업중,,,,,,,210-933,강원특별자치도 강릉시 옥천동 283번지,강원특별자치도 강릉시 옥가로 21 (옥천동),25551,아이앤맘산후조리원,2016-06-02 16:22:40,I,2023-06-13 00:00:00,,367272.942353225,474572.726592649,12,12,223.1,20.2,9.7,42.1,8.8,12.6,39.6,10.1,2.0,5.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,
637,산후조리업,01_01_04_P,4181000,PHMB120064180029042100001,2006-12-15,,1,영업/정상,13,영업중,,2020-07-06,2020-07-18,,033-241-7677,,,강원특별자치도 춘천시 소양로4가,강원특별자치도 춘천시 중앙로 116 (소양로4가),24276,(주)미래산후조리원,2021-09-15 09:59:16,I,2023-06-13 00:00:00,,263473.330661886,486259.054798942,16,16,14.52,46.4,13.47,0.0,11.5,2.8,2.8,0.0,3.0,5.0,0.0,0.0,1.0,1.0,5.0,5.0,0.0,
638,산후조리업,01_01_04_P,4181000,PHMB120094180029042100001,2009-02-20,,1,영업/정상,13,영업중,,2020-04-13,2020-05-12,,033-241-7400,,,강원특별자치도 춘천시 온의동 123-29,강원특별자치도 춘천시 터미널길 21 (온의동),24435,아름다운 산후조리원,2024-12-05 11:40:36,U,2024-12-07 02:40:00,,263206.939573518,484886.270109221,6,6,140.0,27.7,12.9,20.0,8.0,4.2,4.2,8.0,2.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,
639,산후조리업,01_01_04_P,4181000,PHMB120104180029042100001,2010-12-08,,1,영업/정상,13,영업중,,,,,033-264-1700,,200-936,강원특별자치도 춘천시 석사동 799번지 썬타워 7층,"강원특별자치도 춘천시 퇴계로 188, 6층~7층층 (석사동)",24378,호산후조리원,2022-05-02 14:23:27,I,2023-06-13 00:00:00,,264995.650946312,484096.148098437,22,22,434.1,44.02,7.3,60.8,0.0,0.0,28.0,6.6,3.0,11.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,
640,산후조리업,01_01_04_P,4201000,PHMB120164200028042100001,2016-04-01,,1,영업/정상,13,영업중,,,,,033-641-6680,,,강원특별자치도 강릉시 임당동 112번지 1호,강원특별자치도 강릉시 경강로 2109 (임당동),25532,행복누리산후조리원,2016-04-21 16:48:10,I,2023-06-13 00:00:00,,367111.831343426,474287.818576962,7,12,180.0,25.0,25.44,0.0,15.94,0.0,0.0,7.64,3.0,3.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,
641,산후조리업,01_01_04_P,4301000,PHMB120204300012042100001,2020-01-10,,1,영업/정상,13,영업중,,,,,,,,강원특별자치도 철원군 갈말읍 군탄리 338번지 7호,"강원특별자치도 철원군 갈말읍 명성로 202-9, 철원군공공산후조리원",24034,철원군공공산후조리원,2020-01-13 13:56:59,I,2023-06-13 00:00:00,,226921.962826057,516369.658145227,10,10,292.5,40.75,7.44,29.14,18.72,0.0,26.01,20.79,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,
642,산후조리업,01_01_04_P,4311000,PHMB120224310010042100001,2022-01-27,,1,영업/정상,13,영업중,,,,,,,,강원특별자치도 화천군 화천읍 중리 242-4,강원특별자치도 화천군 화천읍 강변로 111,24119,화천군공공산후조리원,2022-01-28 08:45:53,I,2023-06-13 00:00:00,,262127.309560726,511872.020415846,5,6,132.91,20.86,4.32,24.95,15.38,0.0,0.0,34.14,5.0,5.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,
643,산후조리업,01_01_04_P,5670000,PHMB120245670554042100001,2024-09-23,,1,영업/정상,13,영업중,,,,,055-713-3588,,,경상남도 창원시 의창구 팔용동 42-1 웰빙프라자,"경상남도 창원시 의창구 평산로 96, 웰빙프라자 3층 308호 (팔용동)",51389,로즈맘산후조리원,2024-09-24 12:01:11,I,2024-09-26 00:13:12,,347343.909179975,195902.597271493,5,5,51.5,12.8,4.5,0.0,0.0,0.0,2.5,8.4,2.0,3.0,0.0,0.0,1.0,0.0,4.0,3.0,1.0,
644,산후조리업,01_01_04_P,3150000,PHMB120243150037042100003,2024-09-20,,1,영업/정상,13,영업중,,,,,02-2659-2026,,,서울특별시 강서구 등촌동 632-1,"서울특별시 강서구 양천로 588, 2~4층 (등촌동)",07552,미래아이굿맘스 산후조리원,2024-09-23 16:37:34,U,2024-09-25 02:40:00,,187890.873539389,450435.337418419,19,22,726.9,61.0,0.0,32.0,14.0,7.2,19.0,8.0,3.0,6.0,0.0,1.0,1.0,1.0,4.0,4.0,0.0,
645,산후조리업,01_01_04_P,3780000,PHMB120243780064042100001,2024-10-15,,1,영업/정상,13,영업중,,,,,031-703-1004,,,경기도 성남시 분당구 서현동 272-2 비지니스호텔갤러리,"경기도 성남시 분당구 황새울로 321, 비지니스호텔갤러리 3층 (서현동)",13590,분당제일산후조리원 2관,2024-10-15 14:34:01,I,2024-10-17 00:12:34,,210653.075354936,431477.96566425,17,18,331.6,42.6,0.0,35.2,11.9,5.3,75.5,16.9,5.0,14.0,1.0,3.0,1.0,0.0,11.0,8.0,3.0,
646,산후조리업,01_01_04_P,3220000,PHMB120243220033042100001,2024-10-29,,1,영업/정상,13,영업중,,,,,02-517-2419,,,서울특별시 강남구 삼성동 24-19,"서울특별시 강남구 삼성로115길 20-10, 노블5 산후조리원 1~4층 (삼성동)",06094,노블5 산후조리원,2024-10-29 17:59:28,I,2024-10-31 00:12:15,,204373.731514907,445875.055349444,4,5,230.7,24.8,0.0,0.0,0.0,0.0,5.4,14.8,5.0,0.0,0.0,0.0,2.0,1.0,4.0,4.0,0.0,
647,산후조리업,01_01_04_P,3600000,PHMB120083600020042100001,2008-11-01,,1,영업/정상,13,영업중,,,,,"062-720-9000,9014",,502-827,광주광역시 서구 치평동 1258번지 3호 6~7층,"광주광역시 서구 시청로 17, 6~7층 (치평동)",61963,미즈산후조리원,2017-02-06 14:56:19,I,2018-08-31 23:59:59,,186366.011454047,183445.316205081,29,32,772.56,119.0,34.06,,20.0,,65.18,1997.79,5.0,14.0,,3.0,,2.0,5.0,2.0,3.0,
648,산후조리업,01_01_04_P,5080000,PHMB120065080035042100002,2006-12-08,,1,영업/정상,13,영업중,,,,,458-0119,,730-040,경상북도 구미시 형곡동 854번지,경상북도 구미시 신시로 74 (형곡동),,해피맘산후조리원,2015-08-11 15:53:25,I,2018-08-31 23:59:59,,320545.926540918,291265.12075264,15,15,135.0,44.64,12.46,57.94,16.32,,49.5,17.64,3.0,4.0,,2.0,1.0,,8.0,7.0,,
649,산후조리업,01_01_04_P,5050000,PHMB120095050041042100001,2009-07-02,,1,영업/정상,13,영업중,,,,,,,,경상북도 경주시 성동동 143번지 7호,"경상북도 경주시 원화로 315, 5층 (성동동)",38139,맘존산후조리원,2016-06-23 10:37:34,I,2018-08-31 23:59:59,,400202.138934424,263235.781935494,12,12,,,,,,,,,,,,,,,,,,
650,산후조리업,01_01_04_P,5080000,PHMB120165080035042100001,2016-11-15,,1,영업/정상,13,영업중,,,,,443-5755,,,,경상북도 구미시 송원서로6길 19-1 (원평동),39230,퀸스베이비산후조리원,2017-02-27 14:22:39,I,2018-08-31 23:59:59,,321085.249122852,292409.23365789,24,25,419.92,78.47,29.95,130.0,,,102.42,,3.0,9.0,0.0,2.0,2.0,,5.0,4.0,1.0,
651,산후조리업,01_01_04_P,5220000,PHMB120165220013042100001,2016-04-21,,1,영업/정상,13,영업중,,,,,0549764141,,,,경상북도 칠곡군 북삼읍 북삼로2길 56,39801,허브하우스산후조리원,2016-04-21 17:29:08,I,2018-08-31 23:59:59,,320665.439407979,286909.088954842,30,30,550.22,60.52,21.08,57.6,8.1,129.74,7.56,10.53,3.0,3.0,,2.0,2.0,,3.0,3.0,,
652,산후조리업,01_01_04_P,5080000,PHMB120105080035042100002,2010-11-05,,1,영업/정상,13,영업중,,,,,054-457-6100,,730-011,경상북도 구미시 원평1동 1049번지 1호,경상북도 구미시 송원서로 94 (원평동),,새봄산후조리원,2024-06-26 13:26:35,U,2024-06-28 02:40:00,,320975.060763512,292515.276602584,20,20,264.0,50.0,30.0,50.0,20.0,0.0,0.0,20.0,1.0,8.0,0.0,3.0,2.0,1.0,2.0,2.0,0.0,
653,산후조리업,01_01_04_P,5080000,PHMB120145080035042100001,2014-10-26,,1,영업/정상,13,영업중,,,,,476-8008,,730-380,경상북도 구미시 옥계동 969번지,"경상북도 구미시 산호대로24길 9-45, 5-6층 (옥계동)",39188,그린나래산후조리원,2014-12-29 09:20:51,I,2018-08-31 23:59:59,,327451.166137721,293786.243870968,19,19,327.07,35.38,15.82,22.26,,,,,3.0,7.0,,2.0,,,7.0,5.0,,
654,산후조리업,01_01_04_P,3690000,PHMB120113690018042100001,2011-03-24,,1,영업/정상,13,영업중,,2017-02-20,2017-03-06,,052-290-6000,,681-800,울산광역시 중구 남외동 512번지 8호,울산광역시 중구 남외2길 36 (남외동),44495,맘스 산후조리원,2017-03-03 09:45:43,I,2018-08-31 23:59:59,,413063.98739351,232217.009737985,27,27,414.04,51.46,8.75,,22.58,86.1,,15.39,4.0,11.0,,1.0,,,9.0,2.0,,
655,산후조리업,01_01_04_P,3690000,PHMB120183690018042100001,2018-01-25,,1,영업/정상,13,영업중,,2019-03-15,2019-03-23,,052-260-6011,,,울산광역시 중구 우정동 498번지 1호,"울산광역시 중구 종가로 310, 10층 (우정동)",44542,피오레산후조리원,2019-03-22 15:44:32,U,2019-03-24 02:40:00,,409442.528547846,231791.931266429,21,21,33.0,67.0,20.5,20.0,12.0,,4.5,14.0,2.0,4.0,,2.0,1.0,2.0,10.0,10.0,,
656,산후조리업,01_01_04_P,3520000,PHMB120023520019042100001,2002-12-27,,1,영업/정상,13,영업중,,2022-10-11,2022-11-15,,032-816-5464,,,인천광역시 연수구 동춘동 936-6 맘모스빌딩,"인천광역시 연수구 앵고개로 260, 맘모스빌딩 7층 (동춘동)",21972,우리산후조리원,2024-08-22 11:18:34,U,2024-08-24 02:40:00,,170910.965450657,434008.814842807,17,17,260.0,47.0,15.8,56.7,12.6,10.0,3.6,8.0,2.0,8.0,1.0,2.0,1.0,1.0,7.0,7.0,0.0,
657,산후조리업,01_01_04_P,3520000,PHMB120123520019042100001,2012-07-10,,1,영업/정상,13,영업중,,2021-07-19,2021-09-01,,032-246-0101,,,인천광역시 연수구 청학동 503-3 소망글로벌,"인천광역시 연수구 먼우금로 189, 소망글로벌 6층 (청학동)",21926,와이산후조리원 연수점,2024-09-30 14:50:52,U,2024-10-02 02:40:00,,171236.347169683,434773.547290722,12,12,149.0,35.0,10.0,0.0,8.5,0.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,0.0,10.0,8.0,2.0,
658,산후조리업,01_01_04_P,6510000,PHMB120176510096042100001,2017-01-09,,1,영업/정상,13,영업중,,,,,064-711-3080,,63087,제주특별자치도 제주시 노형동 740번지 1호,"제주특별자치도 제주시 1100로 3283, 2층 (노형동, 영화빌딩)",63087,맘편한산후조리원,2019-11-09 17:47:28,U,2019-11-12 02:40:00,,151758.799233138,-1767.66776038605,11,11,133.0,28.5,17.9,20.0,14.0,28.5,7.2,31.5,3.0,9.0,,1.0,1.0,,0.0,,,
659,산후조리업,01_01_04_P,6510000,PHMB120066510096042100003,2006-12-12,,1,영업/정상,13,영업중,,2022-04-04,2022-06-13,,064-712-8279,,,"제주특별자치도 제주시 용담이동 2757-1 예나빌딩, 3층","제주특별자치도 제주시 서광로 83, 예나빌딩 3층 (용담이동)",63164,메종포레산후조리원(주),2022-07-14 16:01:44,U,2022-07-16 02:40:00,,153925.919450041,586.231042258827,12,12,180.24,23.87,33.95,5.4,21.44,5.61,3.94,5.19,2.0,8.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,
660,산후조리업,01_01_04_P,6510000,PHMB120146510096042100001,2014-03-26,,1,영업/정상,13,영업중,,2016-06-10,2016-06-19,,064-702-1155,,690-162,제주특별자치도 제주시 오라이동 966번지 1호,제주특별자치도 제주시 오남로 82 (오라이동),63146,프라임산후조리원,2019-11-09 17:48:19,U,2019-11-12 02:40:00,,155117.645427039,-772.971718559135,20,20,393.6,35.91,48.83,54.09,7.09,,,18.7,4.0,8.0,,2.0,2.0,,4.0,3.0,1.0,
661,산후조리업,01_01_04_P,6520000,PHMB120166520074042100001,2016-04-18,,1,영업/정상,13,영업중,,,,,064-730-3654,,,,"제주특별자치도 서귀포시 장수로 47 (동홍동, 서귀포의료원)",63585,제주특별자치도 서귀포의료원 부설 산후조리원,2020-09-25 11:20:55,U,2020-09-27 02:40:00,,159278.746276604,-26591.5596096691,13,13,298.89,39.5,12.59,36.59,76.31,9.86,4.59,17.33,4.0,0.0,0.0,1.0,1.0,,3.0,2.0,1.0,
662,산후조리업,01_01_04_P,6520000,PHMB120136520074042100001,2013-03-27,,1,영업/정상,13,영업중,,2022-06-01,2022-06-30,,064-763-0458,,697-851,제주특별자치도 서귀포시  397번지 24호,제주특별자치도 서귀포시 중앙로 125 (서홍동),63584,서귀포공공산후조리원,2022-06-30 18:21:46,U,2022-07-02 02:40:00,,158939.304188695,-26591.1257044628,11,11,178.66,29.81,16.5,43.4,10.58,0.0,6.16,15.58,2.0,4.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,
663,산후조리업,01_01_04_P,3330000,PHMB120193330024042100001,2019-07-05,,1,영업/정상,13,영업중,,,,,051-715-5150,,,부산광역시 해운대구 좌동 1473번지 2호 엘리움,"부산광역시 해운대구 해운대로 794, 엘리움 13층 (좌동)",48104,퀸즈힐산후조리원,2022-09-21 09:42:12,U,2022-09-23 02:40:00,,398155.660814985,187681.573589165,17,17,447.3,46.83,22.78,0.0,5.39,0.0,0.0,26.78,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
664,산후조리업,01_01_04_P,4060000,PHMB120194060023042100004,2019-12-17,,1,영업/정상,13,영업중,,,,,,,,경기도 파주시 와동동 1378번지,"경기도 파주시 금바위로 50, 8층 (와동동)",10894,와이즈산후조리원,2022-02-18 18:59:45,U,2022-02-20 02:40:00,,178669.927419408,469645.093298959,28,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
665,산후조리업,01_01_04_P,3110000,PHMB120193110032042100002,2019-10-18,,1,영업/정상,13,영업중,,,,,02-388-5638,,,서울특별시 은평구 대조동 38번지 19호,"서울특별시 은평구 진흥로 133, A동 (대조동)",03395,더은혜산후조리원,2019-11-04 13:46:21,U,2019-11-06 02:40:00,,193284.940671202,456206.224350641,21,21,295.64,38.07,21.32,0.0,6.64,40.0,72.0,9.54,3.0,7.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,
666,산후조리업,01_01_04_P,3070000,PHMB120223070034042100001,2022-04-01,,1,영업/정상,13,영업중,,,,,02-2088-7387,,,서울특별시 성북구 석관동 349-1 장위뉴타워 8층,"서울특별시 성북구 화랑로 248, 장위뉴타워 8층 (석관동)",02787,마리아산후조리원,2022-12-13 21:07:34,U,2022-12-15 02:40:00,,204958.405518224,456443.387226032,18,18,207.25,31.75,14.96,20.24,18.55,0.0,46.51,5.75,5.0,9.0,0.0,2.0,1.0,2.0,19.0,15.0,4.0,
667,산후조리업,01_01_04_P,4241000,PHMB120094240025042100001,2009-09-28,,1,영업/정상,13,영업중,,,,,,,245-010,강원특별자치도 삼척시 남양동 6번지,,,명희산후조리원,2009-09-28 19:04:59,I,2023-06-13 00:00:00,,,,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
668,산후조리업,01_01_04_P,4211000,PHMB120084210020042100001,2008-11-10,,1,영업/정상,13,영업중,,,,,033-532-0050,,,강원특별자치도 동해시 천곡동 845번지,"강원특별자치도 동해시 천곡로 86-2 (천곡동, 대륜빌딩)",25769,글로리아산후조리원,2019-04-24 09:57:57,I,2023-06-13 00:00:00,,386910.615529845,448836.210353142,15,10,323.78,43.2,19.2,20.24,12.48,11.52,11.52,0.0,2.0,2.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,
669,산후조리업,01_01_04_P,4211000,PHMB120144210020042100001,2014-12-22,,1,영업/정상,13,영업중,,,,,033-532-8082,,,,강원특별자치도 동해시 한섬로 113-7 (천곡동),25769,아이맘산후조리원,2014-12-22 18:03:17,I,2023-06-13 00:00:00,,386992.953363986,448777.740969764,0,0,15.39,34.37,6.03,34.78,20.74,0.0,2.73,0.0,2.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
670,산후조리업,01_01_04_P,4321000,PHMB120204320010042100001,2020-06-01,,1,영업/정상,13,영업중,,,,,033-482-2995,,,강원특별자치도 양구군 양구읍 상리 254번지 3호,강원특별자치도 양구군 양구읍 중심로 152-64,24545,양구군 공공산후조리원,2020-06-02 08:02:57,I,2023-06-13 00:00:00,,286998.486042779,511792.227814796,8,8,163.8,33.97,10.56,46.8,19.14,0.0,38.28,22.2,3.0,2.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,
671,산후조리업,01_01_04_P,4221000,PHMB120094220024042100001,2009-09-29,,1,영업/정상,13,영업중,,,,,,,235-270,강원특별자치도 태백시 삼수동 1번지 1호 1통 1반 1 1동 1호,"강원특별자치도 태백시 바람부리길 221, 1동 1호 (황지동,1)",,test,2009-09-29 11:31:50,I,2023-06-13 00:00:00,,377159.823069656,410799.581490806,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
672,산후조리업,01_01_04_P,3940000,PHMB120243940138042100003,2024-07-26,,1,영업/정상,13,영업중,,,,,02-3157-2100,,,경기도 고양시 덕양구 동산동 49-1,"경기도 고양시 덕양구 고양대로 2002, 은엽빌딩 2,3층 (동산동)",10596,에끌라마마 산후조리원,2024-07-26 15:49:10,I,2024-07-28 00:14:06,,191219.505957682,460481.126867342,19,19,37.8,69.7,5.7,30.0,4.3,7.0,6.0,13.9,4.0,11.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,
673,산후조리업,01_01_04_P,3150000,PHMB120243150037042100002,2024-06-25,,1,영업/정상,13,영업중,,,,,02-1833-4720,,,서울특별시 강서구 내발산동 680-12,서울특별시 강서구 강서로47길 20 (내발산동),07633,디어원 산후조리원,2024-06-28 09:59:03,U,2024-06-30 02:40:00,,185359.404290308,450080.084404025,37,39,1700.0,149.0,43.0,89.0,0.0,11.0,35.22,18.0,4.0,6.0,0.0,0.0,0.0,0.0,9.0,6.0,3.0,
674,산후조리업,01_01_04_P,3520000,PHMB120243520019042100002,2024-07-19,,1,영업/정상,13,영업중,,,,,032-819-7117,,,인천광역시 연수구 송도동 8-19,"인천광역시 연수구 하모니로 124, 4층 (송도동)",21998,곽생로 산후조리원,2025-03-19 13:34:19,U,2025-03-21 02:40:00,,168498.624341035,431563.608667027,25,28,640.13,50.37,0.0,24.49,7.73,2.5,10.23,10.75,4.0,6.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,
675,산후조리업,01_01_04_P,4641000,PHMB120244641050042100002,2024-06-10,,1,영업/정상,13,영업중,,,,,063-237-3455,,,전북특별자치도 전주시 완산구 중화산동2가 268-31,전북특별자치도 전주시 완산구 영선로 7-50 (중화산동2가),54981,헤일로즈산후조리원,2024-06-11 16:56:38,I,2024-06-13 00:14:14,,211111.008251707,258291.409149486,21,21,791.04,45.06,0.0,31.08,15.42,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1.0,4.0,3.0,1.0,
676,산후조리업,01_01_04_P,5380000,PHMB120245380021042100001,2024-06-21,,1,영업/정상,13,영업중,,,,,0553850366,,,경상남도 양산시 물금읍 범어리 2711-33,"경상남도 양산시 물금읍 범구로 27, 8,9,11층",50611,한아름산후조리원,2024-06-21 10:16:26,I,2024-06-23 00:14:06,,383107.101748324,204948.394983399,29,30,450.1,51.8,30.1,0.0,28.4,0.0,95.0,8.2,3.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,
677,산후조리업,01_01_04_P,3380000,PHMB120033380023042100001,2003-06-01,,1,영업/정상,13,영업중,,,,,760-0600,,613-806,부산광역시 수영구 광안4동 774번지 16호,부산광역시 수영구 수영로 555 (광안동),48261,광안자모병원 산후조리원,2021-03-03 18:11:03,U,2021-03-05 02:40:00,,392404.706795224,186061.167328984,35,43,35.0,81.0,,,,,,,5.0,13.0,1.0,,,1.0,5.0,5.0,,
678,산후조리업,01_01_04_P,3400000,PHMB120173400013042100001,2017-06-01,,1,영업/정상,13,영업중,,,,,051-997-3579,,,,"부산광역시 기장군 정관읍 정관로 601, 5층 (대신빌딩)",46023,아이앤젤산후조리원,2017-08-16 14:27:05,I,2018-08-31 23:59:59,,398140.147334418,204517.00107347,19,19,309.1,37.1,13.0,,,8.9,57.0,28.2,3.0,5.0,,,,,,,,
679,산후조리업,01_01_04_P,3700000,PHMB120113700018042100001,2011-11-22,,1,영업/정상,13,영업중,,2020-02-10,2020-02-19,,256-1052,,680-010,"울산광역시 남구 신정동 1873번지 대공원코오롱파크폴리스 6층 601호~612호,623호",울산광역시 남구 대공원로 241 (신정동),44667,르보아 산후조리원,2020-07-28 16:47:32,U,2020-07-30 02:40:00,,409204.471642157,228147.843983287,10,10,356.4,55.28,10.3,59.4,16.5,37.8,37.8,15.3,2.0,5.0,0.0,1.0,1.0,,6.0,6.0,0.0,
680,산후조리업,01_01_04_P,3700000,PHMB120153700018042100002,2015-01-07,,1,영업/정상,13,영업중,,,,,052-278-0144,,,,"울산광역시 남구 돋질로332번길 12 (삼산동, 의료법인인석의료재단)",44713,보람병원 산후조리원,2023-03-23 13:19:29,U,2023-05-26 08:48:36,,412181.640468738,229512.41964894,32,32,1108.58,77.94,0.0,0.0,0.0,0.0,15.0,40.0,10.0,14.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,
681,산후조리업,01_01_04_P,3710000,PHMB120143710033042100001,2014-06-17,,1,영업/정상,13,영업중,,,,,052-234-3575,,,울산광역시 동구 전하동 668번지 5호 7통 1반,울산광역시 동구 방어진순환도로 747 (전하동),44047,로즈메디산후조리원,2014-06-23 14:13:17,I,2018-08-31 23:59:59,,420383.259609334,225907.987849053,8,8,141.06,27.26,10.44,,,,12.2,7.63,4.0,4.0,,,,,7.0,7.0,,
682,산후조리업,01_01_04_P,3510500,PHMB120113510021042100002,2011-10-10,,1,영업/정상,13,영업중,,,,,435-3575,,402-848,인천광역시 미추홀구 주안동 929-16번지 보미리즌빌 3층,"인천광역시 미추홀구 경원대로 890  (주안동,보미리즌빌 3층)",,아이미즈산후조리원,2011-10-17 10:42:05,I,2018-08-31 23:59:59,,172527.500008351,440045.06513816,20,20,208.12,44.98,,30.14,6.25,53.76,53.76,15.08,3.0,8.0,,2.0,2.0,,0.0,,,
683,산후조리업,01_01_04_P,3510500,PHMB120163510021042100001,2016-01-18,,1,영업/정상,13,영업중,,,,,032-883-3634,,,,"인천광역시 미추홀구 미추로 56, 3,4층 (숭의동)",22161,아이소망 산후조리원,2016-01-21 10:11:04,I,2018-08-31 23:59:59,,168626.328070115,440369.940118064,10,10,199.83,23.3,,,8.92,3.3,7.32,4.66,2.0,4.0,,,2.0,,0.0,0.0,0.0,
684,산후조리업,01_01_04_P,3530000,PHMB120063530019042100003,2006-12-27,,1,영업/정상,13,영업중,,2022-08-05,2023-01-04,,469-1255,,,인천광역시 남동구 구월동 342번지 256호 구월프라자7층,인천광역시 남동구 호구포로 836 (구월동),21542,아이미즈산후조리원,2022-10-18 15:03:49,U,2022-10-20 02:40:00,,175152.900988705,439453.427198328,14,14,10.4,27.72,7.59,28.05,0.0,6.27,3.3,0.0,3.0,7.0,0.0,2.0,2.0,1.0,7.0,7.0,0.0,
685,산후조리업,01_01_04_P,3530000,PHMB120113530019042100001,2011-02-01,,1,영업/정상,13,영업중,,,,,0324247007,,,"인천광역시 남동구 논현동 632번지 2호 아이플렉스빌딩 7층(713호,714호,712호일부)","인천광역시 남동구 논고개로123번길 17 (논현동, 아이플렉스)",21653,마이비산후조리원,2022-06-14 13:07:59,U,2022-06-16 02:40:00,,175411.593577176,433323.533492479,14,15,251.2,33.25,9.0,0.0,12.6,0.0,0.0,5.25,3.0,14.0,0.0,2.0,2.0,0.0,7.0,7.0,0.0,
