암호화요양기호,요양기관명,종별코드명,시도코드명,시군구코드명,주소,전화번호,총의사수,난임시술(인공),난임시술(체외),난임시술(전체),제공시술유형
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ5MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,새봄여성병원,병원,인천,인천부평구,"인천광역시 부평구 마장로 316, (산곡동)",032-521-7200,9,1,0,0,인공수정
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxMTkxIzMxIyQxIyQzIyQ5OSQzNjEwMDIjNjEjJDEjJDQjJDgz,새아산부인과의원,의원,대전,대전대덕구,"대전광역시 대덕구 신탄진로 847, 3,4층 (신탄진동)",042-637-3535,1,1,0,0,인공수정
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxOTYxIzMxIyQxIyQ3IyQxMyQzNjEyMjIjNzEjJDEjJDgjJDgz,생명의정원여성의원,의원,대전,대전서구,"대전광역시 서구 둔산로 52, 8층 (둔산동)",042-719-8280,1,1,1,1,인공+체외
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxOTYxIzExIyQxIyQzIyQ2MiQyNjE0ODEjNTEjJDEjJDYjJDgz,서산부인과의원,의원,세종시,세종시,"세종특별자치시 보듬3로 150, 아름 행복타워 3,4층 (아름동)",044-905-3575,3,1,0,0,인공수정
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQyIyQzIyQwMCQzNjE4MzIjNTEjJDEjJDIjJDgz,서연아이여성의원,의원,인천,인천남동구,"인천광역시 남동구 선수촌공원로 36, 더블루시티 2층 201~207호 (구월동)",464-5800,4,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz,서울대학교병원,상급종합,서울,종로구,"서울특별시 종로구 대학로 101, (연건동)",1588-5700,931,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQwMyQ0NjEwMDIjNjEjJDEjJDgjJDgz,서울라헬여성의원,의원,서울,마포구,"서울특별시 마포구 마포대로 109, 2, 3층 (공덕동, 롯데캐슬프레지던트)",02-3286-7500,6,1,1,1,인공+체외
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQxIyQzIyQ4OSQ0NjE0ODEjNjEjJDEjJDQjJDgz,서울마리산부인과의원,의원,경기,하남시,"경기도 하남시 신평로 45, SN 타워 7층 701호 (신장동)",031-791-3314,1,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQ5MiQzNjE4MzIjNjEjJDEjJDAjJDgz,서울아가온여성의원,의원,서울,구로구,"서울특별시 구로구 디지털로32길 79, 조영빌딩 6,8층 (구로동)",02-864-7500,9,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzExIyQxIyQ3IyQxMyQzNjEwMDIjNjEjJDEjJDgjJDgz,서울아이나여성의원,의원,서울,도봉구,"서울특별시 도봉구 마들로13길 61, 씨드큐브 창동 4층 401-1~5호 (창동)",02-6077-8833,3,1,1,1,인공+체외
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQxIyQzIyQ3OSQzNjEyMjIjNTEjJDEjJDIjJDgz,서울아이비에프여성의원,의원,인천,인천남동구,"인천광역시 남동구 인하로507번길 63, 2층 201호, 6층 602호 (구월동)",032-716-6663,3,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzIxIyQxIyQxIyQxMyQzNjEyMjIjNjEjJDEjJDQjJDgz,서울아이앤여성의원,의원,서울,강동구,"서울특별시 강동구 천호대로 1053, 이안 강동 컴홈스테이 1차 4-5층 (천호동)",02-6953-7119,3,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQwMyQzNjE0ODEjODEjJDEjJDIjJDgz,서울여성병원,병원,경기,부천원미구,"경기도 부천시 원미구 길주로 84, 1~7층,8층 일부, 서울여성병원 / 길주로 74 3층 일부 (건강검진센터)  (상동)",032-230-3000,27,1,1,1,인공+체외
JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz,서울여성병원,병원,대전,대전서구,"대전광역시 서구 문정로 7, (둔산동)",042-488-8275,15,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQzNjE0ODEjODEjJDEjJDYjJDgz,서울특별시보라매병원,종합병원,서울,동작구,"서울특별시 동작구 보라매로5길 20, (신대방동)",02-870-2114,267,1,0,0,인공수정
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQyIyQ3IyQwMCQyNjEyMjIjNjEjJDEjJDgjJDgz,서울특별시서울의료원,종합병원,서울,중랑구,"서울특별시 중랑구 신내로 156, (신내동)",02-2276-7000,162,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ5OSQyNjEyMjIjNDEjJDEjJDgjJDgz,서울퍼틸리티여성의원,의원,서울,강남구,"서울특별시 강남구 강남대로 652, SINSA SQUARE 지층 101호 (신사동)",02-541-3535,4,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5MiQyNjEyMjIjODEjJDEjJDYjJDgz,성심의료재단강동성심병원,종합병원,서울,강동구,"서울특별시 강동구 성안로 150, (길동)",02-2224-2114,167,1,0,0,인공수정
JDQ4MTYyMiM1MSMkMiMkNCMkMDAkMzgxOTYxIzUxIyQxIyQxIyQwMyQ0NjEwMDIjODEjJDEjJDIjJDgz,세가온산부인과의원,의원,강원,강릉시,"강원특별자치도 강릉시 율곡로 2982-6, (교동)",033-643-7114,5,1,0,0,인공수정
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQ5MiQzNjE4MzIjODEjJDEjJDYjJDgz,세브란스산부인과의원,의원,대전,대전서구,"대전광역시 서구 문정로 88, 2~8층 (탄방동)",042-485-3091,2,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQ3IyQ3MiQyNjEwMDIjODEjJDEjJDIjJDgz,세인트마리여성병원,병원,경기,수원권선구,"경기도 수원시 권선구 금곡로197번길 70, 1~5, 9층 (금곡동)",031-289-3000,15,1,1,1,인공+체외
JDQ4MTYyMiM2MSMkMSMkMiMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjEwMDIjNjEjJDEjJDQjJDgz,세종충남대학교병원,종합병원,세종시,세종시,"세종특별자치시 보듬7로 20, 세종충남대학교병원 (도담동)",1800-3114,129,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ4MiQzNjEyMjIjNzEjJDEjJDgjJDgz,세창의료재단우성여성병원,병원,경기,안산단원구,"경기도 안산시 단원구 고잔로 58-10, (고잔동)",031-412-3000,12,1,0,0,인공수정
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQwMyQyNjE4MzIjODEjJDEjJDIjJDgz,세화병원,병원,부산,부산동래구,"부산광역시 동래구 미남로132번길 28, (온천동)",051-505-1333,9,1,1,1,인공+체외
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ5IyQ3MiQ0NjEwMDIjNjEjJDEjJDgjJDgz,센텀이룸여성의원,의원,부산,부산해운대구,"부산광역시 해운대구 센텀2로 20, 센텀타워메디컬 1003,1103호 (우동)",051-758-8275,3,1,1,1,인공+체외
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQxIyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz,센텀희여성의원,의원,부산,부산해운대구,"부산광역시 해운대구 센텀북대로 60, 센텀아이에스타워 1층 108호 (재송동)",051-710-2021,1,1,0,0,인공수정
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ3MiQyNjE0ODEjNjEjJDEjJDAjJDgz,솔빛산부인과의원,의원,전북,전주덕진구,"전북특별자치도 전주시 덕진구 송천중앙로 169, 2,3,4층 (송천동1가)",063-277-3477,1,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzMxIyQxIyQ3IyQ5MiQyNjEyMjIjNzEjJDEjJDgjJDgz,수여성병원,병원,경기,수원권선구,"경기도 수원시 권선구 서부로 1592, (고색동)",031-8012-7000,6,1,0,0,인공수정
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ4OSQyNjE4MzIjNDEjJDEjJDQjJDgz,순병원,병원,부산,부산금정구,"부산광역시 금정구 중앙대로 1701, (부곡동)",051-515-0005,19,1,0,0,인공수정
JDQ4MTYyMiM3MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ1IyQ4MiQzNjEyMjIjODEjJDEjJDIjJDgz,순천365여성의원,의원,전남,순천시,"전라남도 순천시 팔마로 212, 5층 (풍덕동)",061-744-8575,3,1,0,0,인공수정
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzUxIyQxIyQxIyQ3MiQzNjEwMDIjNDEjJDEjJDQjJDgz,쉬즈메디병원,병원,경기,수원팔달구,"경기도 수원시 팔달구 장다리로 288, (인계동)",031-231-7300,20,1,1,1,인공+체외
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQxMyQzNjE4MzIjODEjJDEjJDYjJDgz,시엘병원,병원,광주,광주서구,"광주광역시 서구 무진대로 957, (광천동)",062-368-1700,8,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQxMyQzNjE0ODEjODEjJDEjJDYjJDgz,시온여성병원,병원,경기,수원영통구,"경기도 수원시 영통구 반달로 107, (영통동)",031-201-0700,27,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxOTYxIzExIyQxIyQzIyQ4OSQzNjE0ODEjNzEjJDEjJDgjJDgz,신여성병원,병원,경기,의정부시,"경기도 의정부시 시민로 50, (의정부동)",031-879-3800,9,1,1,1,인공+체외
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzQxIyQxIyQ3IyQ5MiQzNjEwMDIjNDEjJDEjJDgjJDgz,심현남동탄제일산부인과의원,의원,경기,화성시,"경기도 화성시 동탄반석로 196, 6층 601~603호 (반송동, 아이프라자)",031-8003-3388,3,1,1,1,인공+체외
JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxOTYxIzMxIyQxIyQzIyQ4MiQyNjEyMjIjNDEjJDEjJDgjJDgz,아가나여성의원,의원,경남,창원성산구,"경상남도 창원시 성산구 상남로 126, 8층 801호 (상남동)",055-267-7553,3,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzIxIyQxIyQ5IyQxMyQ0NjEwMDIjNDEjJDEjJDgjJDgz,아란태산부인과의원,의원,서울,영등포구,"서울특별시 영등포구 선유로 64, 2-5,7층 (문래동3가)",02-2630-6600,5,1,0,0,인공수정
JDQ4MTYyMiM1MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQxIyQxIyQ3MiQzNjE4MzIjNzEjJDEjJDgjJDgz,아름다운산부인과의원,의원,강원,춘천시,"강원특별자치도 춘천시 터미널길 21, 1~4층 (온의동)",033-244-7800,2,1,1,1,인공+체외
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQwMyQyNjE0ODEjNTEjJDEjJDIjJDgz,아이맘산부인과의원,의원,경북,포항남구,"경상북도 포항시 남구 중흥로 82, (상도동)",054-277-1303,1,1,1,1,인공+체외
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzIxIyQxIyQ5IyQwMyQzNjE4MzIjNjEjJDEjJDQjJDgz,아이사랑산부인과의원,의원,부산,부산진구,"부산광역시 부산진구 가야대로 470, 아이사랑산부인과 1층일부,2~8층 (개금동)",051-890-7000,5,1,0,0,인공수정
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQ1IyQ3MiQzNjEyMjIjNDEjJDEjJDgjJDgz,아이소망산부인과의원,의원,인천,인천미추홀구,"인천광역시 미추홀구 미추로 56, 지하1, 1, 2층 (숭의동, 아이소망여성병원)",032-883-3643,4,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQxIyQ2MiQ0NjEwMDIjNjEjJDEjJDQjJDgz,아이수산부인과의원,의원,서울,서초구,"서울특별시 서초구 동작대로 108, 303,302,B208,B208-1호 (방배동, 디오슈페리움2)",02-3483-2255,2,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMiMkNCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ4MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,아이앤맘산부인과의원,의원,강원,강릉시,"강원특별자치도 강릉시 옥가로 21, 4,5층 (옥천동)",033-648-8114,3,1,1,1,인공+체외
JDQ4MTAxMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzExIyQxIyQzIyQ5MiQyNjEwMDIjNjEjJDEjJDQjJDgz,아이앤젤여성의원,의원,부산,부산기장군,"부산광역시 기장군 정관읍 정관로 601, 3,4층 (대신빌딩)",051-722-3579,5,1,0,0,인공수정
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzMxIyQxIyQzIyQ4MiQzNjEwMDIjNTEjJDEjJDIjJDgz,아이엘산부인과소아청소년과의원,의원,서울,영등포구,"서울특별시 영등포구 양평로 32, 지하1,2,3층 (당산동6가)",02-2068-5111,2,1,0,0,인공수정
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ5MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,아이오라여성의원,의원,경기,수원영통구,"경기도 수원시 영통구 영통로 237, 에이스 하이엔드 타워 영통 B1층 103, 105~113호 (신동)",031-205-5255,6,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE4MzIjNTEjJDEjJDYjJDgz,아주대학교병원,상급종합,경기,수원영통구,"경기도 수원시 영통구 월드컵로 164, (원천동)",031-219-5114,467,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQxIyQ3IyQ4MiQzNjEyMjIjNDEjJDEjJDQjJDgz,안중산부인과의원,의원,경기,평택시,"경기도 평택시 안중읍 안중로131번길 14-15, (안중읍)",031-683-7366,3,1,0,0,인공수정
JDQ4MTYyMiM2MSMkMSMkMiMkOTkkMzgxMzUxIzIxIyQxIyQ1IyQ3OSQzNjE4MzIjODEjJDEjJDYjJDgz,앙즈로여성병원,병원,충남,천안서북구,"충청남도 천안시 서북구 불당33길 1, 외1(불당25로104) (불당동)",041-576-5700,13,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxMTkxIzMxIyQxIyQzIyQ5MiQzNjEwMDIjNDEjJDEjJDgjJDgz,양정분산부인과의원,의원,경기,이천시,"경기도 이천시 이섭대천로 1186, (중리동)",031-635-5300,16,1,1,1,인공+체외
JDQ4MTYyMiM3MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQzIyQwMyQzNjE0ODEjNDEjJDEjJDgjJDgz,에덴병원,병원,광주,광주북구,"광주광역시 북구 면앙로170번길 10, (두암동)",062-260-3000,22,1,0,0,인공수정
JDQ4MTYyMiM4MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQyIyQxIyQwMCQyNjE4MzIjNDEjJDEjJDgjJDgz,에델여성의원,의원,경남,양산시,"경상남도 양산시 물금읍 야리로 127, 4층(전부),5층(501~503),6층(607)호",055-912-0300,7,1,0,0,인공수정
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQyIyQxIyQwMCQzNjEyMjIjNTEjJDEjJDIjJDgz,에디스여성병원,병원,부산,부산사하구,"부산광역시 사하구 낙동대로 361, (당리동)",051-206-0999,3,1,0,0,인공수정
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzIxIyQxIyQ5IyQ5MiQzNjEwMDIjNjEjJDEjJDQjJDgz,에이치아이여성의원,의원,서울,강서구,"서울특별시 강서구 강서로 463, 새싹타워 2층 (마곡동)",02-3662-0401,3,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQxMyQzNjEyMjIjNjEjJDEjJDgjJDgz,에이치큐브병원,병원,서울,도봉구,"서울특별시 도봉구 도봉로 604, (창동)",02-900-2000,16,1,1,1,인공+체외
JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxOTYxIzIxIyQxIyQxIyQ2MiQyNjE4MzIjNTEjJDEjJDYjJDgz,엘르메디여성의원,의원,경남,창원의창구,"경상남도 창원시 의창구 서상로 1, (동정동, 엘르메디의원)",055-253-2111,5,1,1,1,인공+체외
JDQ4MTYyMiM4MSMkMiMkOCMkMDAkMzgxMzUxIzQxIyQyIyQ3IyQwMCQzNjEwMDIjNTEjJDEjJDIjJDgz,엘산부인과의원,의원,제주,제주시,"제주특별자치도 제주시 중앙로 352, 4층 (이도이동)",064-726-6555,1,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ4OSQzNjEwMDIjNjEjJDEjJDQjJDgz,엠앤비여성병원,병원,인천,인천계양구,"인천광역시 계양구 장제로772번길 2, (계산동)",032-552-3500,1,1,0,0,인공수정
JDQ4MTYyMiM1MSMkMiMkOCMkMDAkMzgxMzUxIzIxIyQxIyQ1IyQ4MiQyNjE0ODEjNjEjJDEjJDgjJDgz,엠에스여성의원,의원,충북,청주서원구,"충청북도 청주시 서원구 사직대로 101, (사창동)",043-262-8540,3,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzIxIyQyIyQ1IyQwMCQzNjEwMDIjODEjJDEjJDYjJDgz,엠여성의원,의원,서울,강남구,"서울특별시 강남구 테헤란로 407, 12층 (삼성동, EK타워 )",02-6188-0070,5,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzIxIyQxIyQ1IyQxMyQzNjEyMjIjODEjJDEjJDIjJDgz,엠제이산부인과의원,의원,서울,금천구,"서울특별시 금천구 두산로 81, 지하1층,2~8층 (독산동)",2109-3000,4,1,0,0,인공수정
JDQ4MTYyMiM4MSMkMSMkMCMkOTkkMzgxMzUxIzExIyQxIyQ3IyQ2MiQyNjE4MzIjNTEjJDEjJDYjJDgz,여성아이병원,병원,경북,포항북구,"경상북도 포항시 북구 우창동로22번길 7,  (우현동)",054-255-5000,27,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNjEjJDEjJDQjJDgz,연세대학교 원주세브란스기독병원,상급종합,강원,원주시,"강원특별자치도 원주시 일산로 20-0,  (일산동)",033-741-0114,255,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQzNjE0ODEjNTEjJDEjJDYjJDgz,연세대학교의과대학 강남세브란스병원,상급종합,서울,강남구,"서울특별시 강남구 언주로 211, 강남세브란스병원 (도곡동)",02-2019-3114,384,1,0,0,인공수정
JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjE0ODEjNjEjJDEjJDgjJDgz,연세대학교의과대학세브란스병원,상급종합,서울,서대문구,"서울특별시 서대문구 연세로 50-1, (신촌동)",02-2228-0114,941,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzIxIyQxIyQxIyQ2MiQzNjE0ODEjNzEjJDEjJDgjJDgz,연세더블유산부인과의원,의원,서울,서초구,"서울특별시 서초구 반포대로 111, 보광빌딩 4,5층 (서초동)",02-587-2330,3,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMiMkOCMkMDAkMzgxOTYxIzQxIyQxIyQ3IyQ5OSQzNjE0ODEjNDEjJDEjJDgjJDgz,연세미즈산부인과의원,의원,충북,제천시,"충청북도 제천시 독순로 79, (중앙로2가, 내토메디컬센터)",043-652-6700,1,1,0,0,인공수정
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzUxIyQxIyQ1IyQ5MiQzNjEwMDIjNTEjJDEjJDIjJDgz,연세수피아산부인과의원,의원,서울,송파구,"서울특별시 송파구 위례서로 248, 301~302호 (거여동)",02-408-8275,3,1,0,0,인공수정
JDQ4MTYyMiM1MSMkMiMkNCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ2MiQyNjEyMjIjODEjJDEjJDIjJDgz,연세순풍산부인과의원,의원,강원,원주시,"강원특별자치도 원주시 장미공원길 43-6, (단계동)",033-745-0199,2,1,1,1,인공+체외
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzUxIyQxIyQ1IyQ3OSQzNjE4MzIjNjEjJDEjJDgjJDgz,연세아란산부인과의원,의원,경기,하남시,"경기도 하남시 미사강변대로54번길 121, 연세아란빌딩 2~5층 (풍산동)",031-793-7000,8,1,0,0,인공수정
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQ3IyQwMyQyNjE4MzIjNTEjJDEjJDYjJDgz,연세아이봄여성의원,의원,경기,성남분당구,"경기도 성남시 분당구 정자일로 1, 코오롱트리폴리스1 2층 223,224호 (금곡동)",031-607-1000,2,1,1,1,인공+체외
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzMxIyQyIyQ3IyQwMCQzNjEwMDIjNDEjJDEjJDgjJDgz,연세아이소망여성의원,의원,경기,안산단원구,"경기도 안산시 단원구 고잔로 102, 대지스타타워 305~307, 501~504호 (고잔동)",031-365-5245,2,1,1,1,인공+체외
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzUxIyQxIyQxIyQ5OSQyNjE4MzIjNTEjJDEjJDYjJDgz,연세이롬산부인과의원,의원,서울,강남구,"서울특별시 강남구 테헤란로87길 17, 마젤란 21 아스테리움 1동 3층 301호 (삼성동)",02-558-2255,1,1,0,0,인공수정
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkMzgxMTkxIzExIyQxIyQzIyQ5OSQzNjE4MzIjNDEjJDEjJDQjJDgz,연세하임산부인과의원,의원,충남,천안동남구,"충청남도 천안시 동남구 수곡2길 17-17, 지하1층,지상1,2,3,4,6층 (신방동)",041-412-5555,8,1,0,0,인공수정
JDQ4MTAxMiM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ4MiQyNjEyMjIjNjEjJDEjJDAjJDgz,연제일신병원,병원,부산,부산연제구,"부산광역시 연제구 고분로 6, (연산동)",051-862-2002,19,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQyIyQ5IyQwMCQyNjE0ODEjNDEjJDEjJDgjJDgz,열린산부인과의원,의원,경기,안산단원구,"경기도 안산시 단원구 선부광장1로 22, 3층,4층 (선부동, 한우리크리닉센타)",031-405-3572,4,1,0,0,인공수정
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzIxIyQxIyQ1IyQ2MiQ0NjEwMDIjNTEjJDEjJDYjJDgz,예일산부인과의원,의원,경기,평택시,"경기도 평택시 중앙로 146-1, (합정동)",031-656-3885,9,1,1,1,인공+체외
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQxIyQ3OSQ0NjE0ODEjNTEjJDEjJDIjJDgz,예진산부인과의원,의원,경기,시흥시,"경기도 시흥시 정왕대로 78, (정왕동, B동 306호, 407호, 408호)",031-431-1134,8,1,0,0,인공수정
JDQ4MTYyMiM4MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQ4MiQzNjE0ODEjNDEjJDEjJDQjJDgz,오즈산부인과의원,의원,경남,김해시,"경상남도 김해시 계동로 203, (대청동)",055-312-0114,4,1,0,0,인공수정
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMTkxIzQxIyQyIyQ3IyQwMCQyNjE0ODEjNjEjJDEjJDgjJDgz,용인제일산부인과의원,의원,경기,용인처인구,"경기도 용인시 처인구 중부대로 1347, (김량장동)",031-8031-0200,7,1,0,0,인공수정
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzExIyQxIyQ3IyQ3MiQzNjE4MzIjNDEjJDEjJDgjJDgz,우리기쁜산부인과의원,의원,서울,성북구,"서울특별시 성북구 종암로 147, 지상1~8층 (종암동)",02-2039-1000,6,1,1,1,인공+체외
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNTgxOTYxIzQxIyQyIyQ3IyQwMCQ0NjEwMDIjNjEjJDEjJDQjJDgz,우리들여성산부인과의원,의원,경기,광주시,"경기도 광주시 중앙로 101, 8층 (경안동)",031-768-7535,2,1,0,0,인공수정
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQzIyQxMyQ0NjEwMDIjNDEjJDEjJDgjJDgz,우리산부인과의원,의원,인천,인천연수구,"인천광역시 연수구 앵고개로 254, (동춘동)",032-818-5121,5,1,0,0,인공수정
JDQ4MTYyMiM4MSMkMSMkNCMkOTkkMzgxMzUxIzIxIyQxIyQ5IyQ5MiQzNjEwMDIjNjEjJDEjJDAjJDgz,우리여성병원,병원,경남,김해시,"경상남도 김해시 내외중앙로 91, (내동)",055-321-0114,6,1,1,1,인공+체외
JDQ4MTYyMiM4MSMkMiMkMCMkMDAkNDgxOTYxIzUxIyQxIyQxIyQ4MiQ0NjEwMDIjNTEjJDEjJDYjJDgz,우리여성의원,의원,경북,안동시,"경상북도 안동시 은행나무로 91, 1,3층 (옥동)",054-850-3579,1,1,0,0,인공수정
JDQ4MTYyMiM1MSMkMiMkMCMkMDAkNDgxOTYxIzMxIyQxIyQ3IyQ2MiQyNjEyMjIjNzEjJDEjJDgjJDgz,우먼플러스산부인과의원,의원,경기,수원장안구,"경기도 수원시 장안구 경수대로 892, (조원동)",031-248-8100,8,1,0,0,인공수정
JDQ4MTg4MSM1MSMkMSMkMCMkOTkkMzgxMzUxIzIxIyQxIyQxIyQ3MiQyNjE0ODEjNjEjJDEjJDQjJDgz,유광사여성병원,병원,서울,강서구,"서울특별시 강서구 강서로 194, (화곡동)",02-2608-1011,8,1,1,1,인공+체외
